day,hr_avg,hr_min,hr_max,rhr_avg,rhr_min,rhr_max,inactive_hr_avg,inactive_hr_min,inactive_hr_max,weight_avg,weight_min,weight_max,intensity_time,moderate_activity_time,vigorous_activity_time,intensity_time_goal,steps,steps_goal,floors,floors_goal,sleep_avg,sleep_min,sleep_max,rem_sleep_avg,rem_sleep_min,rem_sleep_max,stress_avg,calories_avg,calories_bmr_avg,calories_active_avg,calories_goal,calories_consumed_avg,activities,activities_calories,activities_distance,hydration_goal,hydration_avg,hydration_intake,sweat_loss_avg,sweat_loss,spo2_avg,spo2_min,rr_waking_avg,rr_max,rr_min,bb_max,bb_min
2022-03-28,85.69444444444444,58.0,122.0,71.0,71.0,71.0,85.33333333333333,65.0,116.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,1449.0,10000,0.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,47.0,2147,2023,124,,,,,,2800,,,,,,,,,,,
2022-03-29,88.16268980477223,57.0,126.0,65.0,65.0,65.0,90.1,77.0,116.0,,,,01:03:00.000000,01:03:00.000000,00:00:00.000000,00:21:25,7090.0,10000,5.00361,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,52.0,2455,2023,432,,,,,,2800,,,,,,,,,,,
2022-03-30,85.34441805225653,49.0,134.0,59.0,59.0,59.0,79.81818181818181,62.0,109.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,11175.0,10000,7.25656,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,37.0,2780,2023,757,,,,,,2800,,,,,,,,,,,
2022-03-31,89.76368876080691,56.0,136.0,62.0,62.0,62.0,91.11111111111111,64.0,123.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,8920.0,10000,2.09777,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,67.0,2739,2023,716,,,,,,2800,,,,,,,,,,,
2022-04-01,90.93915343915344,56.0,162.0,69.0,69.0,69.0,97.85714285714286,70.0,138.0,,,,00:15:00.000000,00:05:00.000000,00:05:00.000000,00:21:25,9643.0,10000,12.43406,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,59.0,3060,2023,1037,,,,,,2800,,,,,,,,,,,
2022-04-02,89.94923857868021,47.0,142.0,71.0,71.0,71.0,88.5,77.0,105.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,10521.0,10000,28.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,56.0,2785,2023,762,,,,,,2800,,,,,,,,,,,
2022-04-03,88.82579787234043,52.0,129.0,59.0,59.0,59.0,89.82758620689656,52.0,107.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,6805.0,10000,7.0,10.0,04:09:00.000000,04:09:00.000000,04:09:00.000000,00:29:00.000000,00:29:00.000000,00:29:00.000000,73.0,2666,2023,643,,,,,,2800,,,,,,,,,,,
2022-04-04,,,,,,,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,0.0,10000,0.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,-1.0,668,668,0,,,,,,2800,,,,,,,,,,,
2022-04-10,,,,,,,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,0.0,10000,0.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,-1.0,2023,2023,0,,,,,,2800,,,,,,,,,,,
2022-04-11,91.87760778859527,54.0,133.0,63.0,63.0,63.0,93.375,75.0,117.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,10516.0,10000,7.49311,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,58.0,2984,2023,961,,,,,,2800,,,,,,,,,,,
2022-04-12,87.78941034897714,62.0,136.0,68.0,68.0,68.0,85.26923076923077,70.0,110.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,9432.0,10000,4.74278,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,56.0,2768,2023,745,,,,,,2800,,,,,,,,,,,
2022-04-13,92.14927184466019,48.0,136.0,68.0,68.0,68.0,87.27272727272727,70.0,122.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,14891.0,10000,6.56627,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,59.0,3081,2023,1058,,,,,,2800,,,,,,,,,,,
2022-04-14,92.61878453038673,62.0,141.0,71.0,71.0,71.0,95.0,95.0,95.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,10702.0,10000,6.76148,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,72.0,3169,2023,1146,,,,,,2800,,,,,,,,,,,
2022-04-15,90.09553571428572,53.0,156.0,63.0,63.0,63.0,86.45882352941176,53.0,150.0,,,,01:33:00.000000,01:33:00.000000,00:00:00.000000,00:21:25,12405.0,10000,15.0,10.0,06:40:00.000000,06:40:00.000000,06:40:00.000000,01:12:00.000000,01:12:00.000000,01:12:00.000000,58.0,3162,2023,1139,,,,,,2800,,,,,,,,,,,
2022-04-16,94.92164179104478,60.0,141.0,65.0,65.0,65.0,93.8125,76.0,126.0,,,,00:40:00.000000,00:40:00.000000,00:00:00.000000,00:21:25,10750.0,10000,14.41765,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,66.0,2954,2023,931,,,,,,2800,,,,,,,,,,,
2022-04-17,86.39890710382514,62.0,130.0,69.0,69.0,69.0,86.0,69.0,106.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,3582.0,10000,5.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,56.0,2254,2023,231,,,,,,2800,,,,,,,,,,,
2022-04-18,84.71499380421314,55.0,127.0,65.0,65.0,65.0,76.0625,63.0,108.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,6922.0,10000,1.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,45.0,2532,2023,509,,,,,,2800,,,,,,,,,,,
2022-04-19,86.42093023255813,56.0,128.0,65.0,65.0,65.0,84.85714285714286,75.0,122.0,,,,00:13:00.000000,00:13:00.000000,00:00:00.000000,00:21:25,4278.0,10000,0.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,52.0,1080,716,364,,,,,,2800,,,,,,,,,,,
